Dataset_ID,ObservedBy_Person_ID,Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Plant_Nickname,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,NumYs_in_Series,Multiple_Observers,Accum_Prcp,Daylength
'-9999','34757',20238,42.298065,-71.122131,21,MA,79,Fagus,grandifolia,American beech,Plantae,135911,American beech 22798*A,500,Flowers or flower buds,2014,4,22,112,2456770,-9999,2014,4,30,120,2456778,-9999,2,0,396,48384
'-9999',"'25505,19414,25556'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,371,Breaking leaf buds,2015,5,18,138,2457161,-9999,2015,6,7,158,2457181,6,4,1,330,52186
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,371,Breaking leaf buds,2015,6,14,165,2457188,1,2015,6,14,165,2457188,2,1,0,404,54259
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,371,Breaking leaf buds,2015,6,21,172,2457195,5,2015,6,21,172,2457195,1,1,0,445,54259
'-9999',"'19414,25556'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,371,Breaking leaf buds,2015,6,26,177,2457200,4,2015,6,27,178,2457201,3,2,1,458,54259
'-9999','19414',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,371,Breaking leaf buds,2015,7,10,191,2457214,4,2015,7,10,191,2457214,4,1,0,554,53568
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,371,Breaking leaf buds,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4,1,0,578,50803
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,371,Breaking leaf buds,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1,1,0,608,49075
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,371,Breaking leaf buds,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3,1,0,622,47347
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,371,Breaking leaf buds,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2,1,0,623,45965
'-9999','25505',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,12843*D Yellow birch,371,Breaking leaf buds,2015,5,18,138,2457161,-9999,2015,5,18,138,2457161,1,1,0,330,52186
'-9999',"'19414,25556'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,12843*D Yellow birch,371,Breaking leaf buds,2015,5,22,142,2457165,3,2015,5,30,150,2457173,8,2,1,336,52531
'-9999','19414',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,12843*D Yellow birch,371,Breaking leaf buds,2015,6,26,177,2457200,4,2015,6,26,177,2457200,4,1,0,458,54259
'-9999','19414',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,12843*D Yellow birch,371,Breaking leaf buds,2015,7,10,191,2457214,4,2015,7,10,191,2457214,4,1,0,554,53568
'-9999',"'25505,19414,25556'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,371,Breaking leaf buds,2015,5,18,138,2457161,-9999,2015,6,7,158,2457181,6,4,1,330,52186
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,371,Breaking leaf buds,2015,6,21,172,2457195,5,2015,6,21,172,2457195,1,1,0,445,54259
'-9999','19414',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,371,Breaking leaf buds,2015,6,26,177,2457200,4,2015,6,26,177,2457200,1,1,0,458,54259
'-9999','19414',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,371,Breaking leaf buds,2015,7,10,191,2457214,4,2015,7,10,191,2457214,4,1,0,554,53568
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,371,Breaking leaf buds,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4,1,0,578,50803
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,371,Breaking leaf buds,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1,1,0,608,49075
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,371,Breaking leaf buds,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3,1,0,622,47347
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,371,Breaking leaf buds,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2,1,0,623,45965
'-9999',"'25505,19414,25556'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,371,Breaking leaf buds,2015,5,18,138,2457161,-9999,2015,6,7,158,2457181,6,5,1,330,52186
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,371,Breaking leaf buds,2015,6,21,172,2457195,5,2015,6,21,172,2457195,1,1,0,445,54259
'-9999','19414',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,371,Breaking leaf buds,2015,6,26,177,2457200,4,2015,6,26,177,2457200,1,1,0,458,54259
'-9999','19414',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,371,Breaking leaf buds,2015,7,10,191,2457214,4,2015,7,10,191,2457214,4,1,0,554,53568
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,371,Breaking leaf buds,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4,1,0,578,50803
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,371,Breaking leaf buds,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1,1,0,608,49075
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,371,Breaking leaf buds,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3,1,0,622,47347
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,371,Breaking leaf buds,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2,1,0,623,45965
'-9999',"'25505,25556'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,371,Breaking leaf buds,2015,5,18,138,2457161,-9999,2015,6,7,158,2457181,6,3,1,330,52186
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,371,Breaking leaf buds,2015,6,14,165,2457188,1,2015,6,21,172,2457195,1,2,0,404,54259
'-9999',"'19414,25556'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,371,Breaking leaf buds,2015,6,26,177,2457200,4,2015,6,27,178,2457201,3,2,1,458,54259
'-9999','19414',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,371,Breaking leaf buds,2015,7,10,191,2457214,4,2015,7,10,191,2457214,4,1,0,554,53568
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,371,Breaking leaf buds,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4,1,0,578,50803
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,371,Breaking leaf buds,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1,1,0,608,49075
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,371,Breaking leaf buds,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3,1,0,622,47347
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,371,Breaking leaf buds,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2,1,0,623,45965
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,390,Ripe fruits,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1,1,0,608,49075
'-9999',"'25556,25505,26423,19414'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,390,Ripe fruits,2015,8,28,240,2457263,4,2015,11,2,306,2457329,7,21,1,622,47347
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,390,Ripe fruits,2015,11,13,317,2457340,4,2015,11,13,317,2457340,3,1,0,801,34560
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,390,Ripe fruits,2015,11,20,324,2457347,4,2015,11,20,324,2457347,3,1,0,825,33869
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,390,Ripe fruits,2015,11,26,330,2457353,3,2015,11,26,330,2457353,6,1,0,832,33178
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,390,Ripe fruits,2015,12,5,339,2457362,3,2015,12,19,353,2457376,5,3,0,848,32486
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,390,Ripe fruits,2015,12,26,360,2457383,2,2015,12,26,360,2457383,-9999,1,0,902,32141
'-9999',"'25505,26423'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,12843*D Yellow birch,390,Ripe fruits,2015,8,31,243,2457266,14,2015,9,7,250,2457273,8,3,1,622,46656
'-9999','25505',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,12843*D Yellow birch,390,Ripe fruits,2015,9,21,264,2457287,6,2015,9,21,264,2457287,6,1,0,646,43200
'-9999','25505',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,12843*D Yellow birch,390,Ripe fruits,2015,10,11,284,2457307,14,2015,11,2,306,2457329,7,4,0,737,39744
'-9999',"'25556,25505,26423,19414'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,390,Ripe fruits,2015,8,28,240,2457263,4,2015,11,7,311,2457334,2,22,1,622,47347
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,390,Ripe fruits,2015,11,13,317,2457340,4,2015,11,13,317,2457340,3,1,0,801,34560
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,390,Ripe fruits,2015,11,20,324,2457347,4,2015,11,20,324,2457347,3,1,0,825,33869
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,390,Ripe fruits,2015,11,26,330,2457353,3,2015,11,26,330,2457353,6,1,0,832,33178
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,390,Ripe fruits,2015,12,5,339,2457362,3,2015,12,19,353,2457376,5,3,0,848,32486
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,390,Ripe fruits,2015,12,26,360,2457383,2,2015,12,26,360,2457383,-9999,1,0,902,32141
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,390,Ripe fruits,2015,9,4,247,2457270,7,2015,9,4,247,2457270,2,1,0,623,45965
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,390,Ripe fruits,2015,9,11,254,2457277,5,2015,9,11,254,2457277,4,1,0,640,44928
'-9999',"'25556,25505'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,390,Ripe fruits,2015,9,19,262,2457285,4,2015,9,21,264,2457287,6,2,1,646,43546
'-9999',"'25556,25505'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,390,Ripe fruits,2015,10,9,282,2457305,12,2015,11,2,306,2457329,7,8,1,731,40090
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,390,Ripe fruits,2015,11,13,317,2457340,4,2015,11,13,317,2457340,3,1,0,801,34560
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,390,Ripe fruits,2015,11,20,324,2457347,4,2015,11,20,324,2457347,3,1,0,825,33869
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,390,Ripe fruits,2015,11,26,330,2457353,3,2015,11,26,330,2457353,6,1,0,832,33178
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,390,Ripe fruits,2015,12,5,339,2457362,3,2015,12,19,353,2457376,5,3,0,848,32486
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,390,Ripe fruits,2015,12,26,360,2457383,2,2015,12,26,360,2457383,-9999,1,0,902,32141
'-9999',"'25556,25505,26423,19414'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,390,Ripe fruits,2015,8,16,228,2457251,6,2015,11,20,324,2457347,3,29,1,608,49075
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,390,Ripe fruits,2015,11,26,330,2457353,3,2015,11,26,330,2457353,6,1,0,832,33178
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,390,Ripe fruits,2015,12,5,339,2457362,3,2015,12,19,353,2457376,5,3,0,848,32486
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,390,Ripe fruits,2015,12,26,360,2457383,2,2015,12,26,360,2457383,-9999,1,0,902,32141
'-9999','25505',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,467,Increasing leaf size,2015,5,18,138,2457161,-9999,2015,5,18,138,2457161,4,1,0,330,52186
'-9999','26033',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,467,Increasing leaf size,2015,7,13,194,2457217,3,2015,7,13,194,2457217,1,1,0,554,53568
'-9999','25505',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,12843*D Yellow birch,467,Increasing leaf size,2015,5,18,138,2457161,-9999,2015,5,19,139,2457162,3,2,0,330,52186
'-9999','26033',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,12843*D Yellow birch,467,Increasing leaf size,2015,7,13,194,2457217,3,2015,7,13,194,2457217,1,1,0,554,53568
'-9999','25505',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,467,Increasing leaf size,2015,5,18,138,2457161,-9999,2015,5,18,138,2457161,4,1,0,330,52186
'-9999','25505',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,467,Increasing leaf size,2015,5,18,138,2457161,-9999,2015,5,19,139,2457162,3,2,0,330,52186
'-9999',"'25505,25556'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,467,Increasing leaf size,2015,5,18,138,2457161,-9999,2015,5,30,150,2457173,8,2,1,330,52186
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,471,Falling leaves,2015,7,26,207,2457230,5,2015,7,26,207,2457230,2,1,0,564,52186
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,471,Falling leaves,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4,1,0,578,50803
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,471,Falling leaves,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1,1,0,608,49075
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,471,Falling leaves,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3,1,0,622,47347
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,471,Falling leaves,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2,1,0,623,45965
'-9999',"'25505,25556'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,471,Falling leaves,2015,9,7,250,2457273,1,2015,9,11,254,2457277,3,2,1,623,45619
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,471,Falling leaves,2015,9,19,262,2457285,5,2015,9,19,262,2457285,2,1,0,646,43546
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,471,Falling leaves,2015,9,27,270,2457293,6,2015,9,27,270,2457293,1,1,0,646,42163
'-9999',"'25505,25556'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,471,Falling leaves,2015,10,5,278,2457301,7,2015,11,1,305,2457328,1,8,1,731,40781
'-9999','25505',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,12843*D Yellow birch,471,Falling leaves,2015,9,7,250,2457273,1,2015,9,7,250,2457273,7,1,0,623,45619
'-9999',"'19414,25505'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,12843*D Yellow birch,471,Falling leaves,2015,9,27,270,2457293,6,2015,9,28,271,2457294,7,2,1,646,42163
'-9999','25505',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,12843*D Yellow birch,471,Falling leaves,2015,10,11,284,2457307,6,2015,11,2,306,2457329,7,4,0,737,39744
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,471,Falling leaves,2015,7,26,207,2457230,5,2015,7,26,207,2457230,2,1,0,564,52186
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,471,Falling leaves,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3,1,0,622,47347
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,471,Falling leaves,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2,1,0,623,45965
'-9999',"'25505,25556,19414'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,12843*E Yellow birch,471,Falling leaves,2015,9,7,250,2457273,1,2015,11,2,306,2457329,5,17,1,623,45619
'-9999',"'19414,25556'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,471,Falling leaves,2015,9,15,258,2457281,1,2015,9,19,262,2457285,2,2,1,646,44237
'-9999','19414',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,471,Falling leaves,2015,9,27,270,2457293,6,2015,9,27,270,2457293,1,1,0,646,42163
'-9999',"'25556,25505'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,12843*H Yellow birch,471,Falling leaves,2015,10,9,282,2457305,4,2015,11,2,306,2457329,5,8,1,731,40090
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,471,Falling leaves,2015,7,26,207,2457230,5,2015,7,26,207,2457230,1,1,0,564,52186
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,471,Falling leaves,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4,1,0,578,50803
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,471,Falling leaves,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1,1,0,608,49075
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,471,Falling leaves,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3,1,0,622,47347
'-9999','25556',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,471,Falling leaves,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2,1,0,623,45965
'-9999',"'25505,25556,19414'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,471,Falling leaves,2015,9,7,250,2457273,1,2015,9,19,262,2457285,2,5,1,623,45619
'-9999',"'25556,19414,25505'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,629-83*D Yellow birch,471,Falling leaves,2015,9,27,270,2457293,6,2015,11,1,305,2457328,1,10,1,646,42163
'-9999',"'25505,19414,25556,26033,26036,26423'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,12843*A Yellow birch,483,Leaves,2015,5,18,138,2457161,-9999,2015,11,1,305,2457328,1,47,1,330,52186
