ObservedBy_Person_ID,Partner_Group,Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Plant_Nickname,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,NumYs_in_Series,NumDays_in_Series,Multiple_Observers,Multiple_FirstY
"'47191,29483,47239'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2019,5,9,129,2458613,3,2019,5,11,131,2458615,1,3,3,1,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2019,5,18,138,2458622,6,2019,5,18,138,2458622,1,1,1,0,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2019,5,22,142,2458626,1,2019,5,22,142,2458626,2,1,1,0,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2019,5,30,150,2458634,2,2019,5,30,150,2458634,2,1,1,0,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2019,6,4,155,2458639,1,2019,6,6,157,2458641,1,2,3,0,1
'46947',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2019,6,8,159,2458643,1,2019,6,8,159,2458643,1,1,1,0,1
'43399',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",371,Breaking leaf buds,2019,4,17,107,2458591,2,2019,4,17,107,2458591,2,1,1,0,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",371,Breaking leaf buds,2019,4,20,110,2458594,1,2019,4,20,110,2458594,1,1,1,0,1
"'31240,30377,43399,34731,43627,31858,25505,29483,43735,47191,47239'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",371,Breaking leaf buds,2019,4,22,112,2458596,1,2019,5,11,131,2458615,1,12,20,1,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",371,Breaking leaf buds,2019,5,18,138,2458622,6,2019,5,18,138,2458622,1,1,1,0,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",371,Breaking leaf buds,2019,5,30,150,2458634,3,2019,5,30,150,2458634,2,1,1,0,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",371,Breaking leaf buds,2019,6,6,157,2458641,2,2019,6,6,157,2458641,2,1,1,0,1
"'25505,43399'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2019,4,12,102,2458586,2,2019,4,14,104,2458588,1,2,3,1,1
"'25505,43399,25556,31858,34731,29483,47239'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2019,4,16,106,2458590,1,2019,5,11,131,2458615,1,18,26,1,1
"'25556,29483'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2019,5,15,135,2458619,3,2019,5,18,138,2458622,1,2,4,1,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2019,5,22,142,2458626,1,2019,5,22,142,2458626,4,1,1,0,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2019,5,30,150,2458634,2,2019,5,30,150,2458634,2,1,1,0,1
"'29483,25556'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2019,6,4,155,2458639,1,2019,6,7,158,2458642,2,3,4,1,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2019,6,22,173,2458657,1,2019,6,22,173,2458657,5,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2019,7,4,185,2458669,4,2019,7,4,185,2458669,2,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2019,7,14,195,2458679,7,2019,7,14,195,2458679,5,1,1,0,1
'47328',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,6,3,154,2458638,2,2019,6,3,154,2458638,1,1,1,0,1
'34731',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,6,9,160,2458644,1,2019,6,9,160,2458644,3,1,1,0,1
'34731',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,6,27,178,2458662,3,2019,6,27,178,2458662,3,1,1,0,1
'47011',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,7,8,189,2458673,1,2019,7,8,189,2458673,2,1,1,0,1
"'25556,47328,47011'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,7,27,208,2458692,8,2019,7,28,209,2458693,3,2,2,1,1
"'31858,31240'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,8,25,237,2458721,1,2019,9,1,244,2458728,2,3,8,1,1
"'30377,31240,25556,47328,31858,47011,25505,43399,49381'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,9,6,249,2458733,3,2019,9,19,262,2458746,2,7,14,1,1
"'31858,25505,25556'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,9,22,265,2458749,1,2019,9,29,272,2458756,1,4,8,1,1
"'30377,25556,31858'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,10,4,277,2458761,1,2019,10,6,279,2458763,1,3,3,1,1
"'31240,25556,30377,50376,19414,43399,31858,49381,25505'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,10,9,282,2458766,2,2019,10,19,292,2458776,1,6,11,1,1
'31858',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,10,21,294,2458778,1,2019,10,21,294,2458778,2,1,1,0,1
"'25556,31240'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,10,24,297,2458781,1,2019,10,28,301,2458785,5,2,5,1,1
"'31858,31240,25556,47191'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,11,6,310,2458794,3,2019,11,29,333,2458817,2,9,24,1,1
'31858',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2019,12,8,342,2458826,7,2019,12,8,342,2458826,-9999,1,1,0,1
'34731',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,6,9,160,2458644,1,2019,6,9,160,2458644,5,1,1,0,1
'34731',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,6,27,178,2458662,5,2019,6,27,178,2458662,3,1,1,0,1
'47011',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,7,8,189,2458673,1,2019,7,8,189,2458673,6,1,1,0,1
"'31858,30377'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,7,31,212,2458696,12,2019,8,11,223,2458707,1,3,12,1,1
'31858',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,8,18,230,2458714,6,2019,8,18,230,2458714,1,1,1,0,1
"'47328,31858,31240'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,8,20,232,2458716,1,2019,9,1,244,2458728,2,6,13,1,1
'30377',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,9,6,249,2458733,3,2019,9,6,249,2458733,1,1,1,0,1
'31858',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,9,8,251,2458735,1,2019,9,8,251,2458735,4,1,1,0,1
"'49381,31858,43399,31240'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,9,15,258,2458742,3,2019,9,17,260,2458744,4,2,3,1,1
"'31858,25505'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,9,22,265,2458749,1,2019,9,29,272,2458756,1,3,8,1,1
"'30377,31858'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,10,4,277,2458761,1,2019,10,6,279,2458763,1,2,3,1,1
"'31240,30377,43399,31858,49381,25505'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,10,9,282,2458766,2,2019,10,19,292,2458776,1,4,11,1,1
'31858',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,10,21,294,2458778,1,2019,10,21,294,2458778,2,1,1,0,1
'31240',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,10,28,301,2458785,5,2019,10,28,301,2458785,6,1,1,0,1
"'31858,31240,47328'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,11,6,310,2458794,3,2019,11,25,329,2458813,2,5,20,1,1
'31858',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2019,12,8,342,2458826,7,2019,12,8,342,2458826,-9999,1,1,0,1
'34731',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,5,5,125,2458609,2,2019,5,5,125,2458609,1,1,1,0,1
"'34731,31858,47328'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,6,9,160,2458644,1,2019,6,14,165,2458649,1,2,6,1,1
'34731',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,6,27,178,2458662,5,2019,6,27,178,2458662,3,1,1,0,1
'47011',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,7,8,189,2458673,1,2019,7,8,189,2458673,2,1,1,0,1
'47328',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,7,27,208,2458692,8,2019,7,28,209,2458693,3,2,2,0,1
"'47328,31858'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,8,11,223,2458707,7,2019,8,12,224,2458708,3,2,2,1,1
'47328',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,8,24,236,2458720,5,2019,8,24,236,2458720,1,1,1,0,1
"'31240,31858'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,8,27,239,2458723,2,2019,9,1,244,2458728,2,2,6,1,1
"'31240,30377,47328,31858,47011,43399,25505,49381,49378'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,9,6,249,2458733,3,2019,9,18,261,2458745,3,7,13,1,1
"'31858,25505'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,9,22,265,2458749,1,2019,9,29,272,2458756,4,3,8,1,1
"'30377,25505'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,10,4,277,2458761,1,2019,10,6,279,2458763,1,2,3,1,1
"'31240,30377,43399,31858,49381,25505,47011'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,10,9,282,2458766,2,2019,10,21,294,2458778,2,5,13,1,1
'31240',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,10,28,301,2458785,5,2019,10,28,301,2458785,6,1,1,0,1
"'31858,31240,47328'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,11,6,310,2458794,3,2019,11,25,329,2458813,2,5,20,1,1
'31858',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2019,12,8,342,2458826,7,2019,12,8,342,2458826,-9999,1,1,0,1
'34731',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2019,6,9,160,2458644,1,2019,6,9,160,2458644,6,1,1,0,1
'47011',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2019,7,8,189,2458673,1,2019,7,8,189,2458673,2,1,1,0,1
'31240',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2019,8,27,239,2458723,3,2019,8,27,239,2458723,7,1,1,0,1
'31240',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2019,9,6,249,2458733,3,2019,9,6,249,2458733,1,1,1,0,1
"'49381,31858,43399,31240,49378'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2019,9,15,258,2458742,3,2019,9,18,261,2458745,3,3,4,1,1
"'31858,25505'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2019,9,22,265,2458749,1,2019,9,29,272,2458756,1,3,8,1,1
"'30377,31858'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2019,10,4,277,2458761,1,2019,10,6,279,2458763,1,2,3,1,1
"'31240,30377,43399,31858,49381,25505'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2019,10,9,282,2458766,2,2019,10,19,292,2458776,1,4,11,1,1
'31858',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2019,10,21,294,2458778,1,2019,10,21,294,2458778,2,1,1,0,1
'31240',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2019,10,28,301,2458785,5,2019,10,28,301,2458785,6,1,1,0,1
"'31858,31240,47328'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2019,11,6,310,2458794,3,2019,11,25,329,2458813,2,5,20,1,1
'31858',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2019,12,8,342,2458826,7,2019,12,8,342,2458826,-9999,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2019,3,17,76,2458560,-9999,2019,3,17,76,2458560,6,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2019,3,24,83,2458567,1,2019,3,24,83,2458567,4,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2019,3,30,89,2458573,2,2019,3,30,89,2458573,1,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2019,4,5,95,2458579,3,2019,4,5,95,2458579,1,1,1,0,1
'34731',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2019,5,5,125,2458609,1,2019,5,5,125,2458609,1,1,1,0,1
'34731',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2019,6,9,160,2458644,3,2019,6,9,160,2458644,7,1,1,0,1
