ObservedBy_Person_ID,Partner_Group,Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Plant_Nickname,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,NumYs_in_Series,NumDays_in_Series,Multiple_Observers,Multiple_FirstY
"'30552,25505'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",371,Breaking leaf buds,2016,6,2,154,2457542,7,2016,6,7,159,2457547,1,2,6,1,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",371,Breaking leaf buds,2016,6,13,165,2457553,5,2016,6,13,165,2457553,14,1,1,0,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",371,Breaking leaf buds,2016,7,4,186,2457574,7,2016,7,4,186,2457574,8,1,1,0,1
'30821',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",371,Breaking leaf buds,2016,9,2,246,2457634,11,2016,9,2,246,2457634,3,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2016,4,8,99,2457487,2,2016,4,8,99,2457487,2,1,1,0,1
"'28810,29110,29483,29374,25556,29083,29192,29105,25505,26490,26817,30408'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2016,4,11,102,2457490,1,2016,5,23,144,2457532,2,21,43,1,1
"'30552,25556,25505'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2016,6,2,154,2457542,7,2016,6,7,159,2457547,1,2,6,1,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2016,6,13,165,2457553,4,2016,6,13,165,2457553,3,1,1,0,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2016,7,4,186,2457574,4,2016,7,4,186,2457574,3,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2016,7,28,210,2457598,3,2016,7,28,210,2457598,2,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2016,8,7,220,2457608,8,2016,8,7,220,2457608,2,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2016,8,20,233,2457621,4,2016,8,20,233,2457621,2,1,1,0,1
'26490',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2016,8,28,241,2457629,6,2016,8,28,241,2457629,8,1,1,0,1
'29110',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",371,Breaking leaf buds,2016,4,13,104,2457492,2,2016,4,13,104,2457492,1,1,1,0,1
"'29192,28810,29105,29110,29483,25505,26490,26817,29374,30408'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",371,Breaking leaf buds,2016,4,19,110,2457498,1,2016,5,23,144,2457532,3,17,35,1,1
"'30408,25505,30552'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",371,Breaking leaf buds,2016,5,29,150,2457538,3,2016,6,7,159,2457547,1,3,10,1,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",371,Breaking leaf buds,2016,6,13,165,2457553,5,2016,6,13,165,2457553,6,1,1,0,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",371,Breaking leaf buds,2016,7,4,186,2457574,4,2016,7,4,186,2457574,3,1,1,0,1
'26490',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",371,Breaking leaf buds,2016,8,28,241,2457629,6,2016,8,28,241,2457629,8,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,4,8,99,2457487,2,2016,4,8,99,2457487,1,1,1,0,1
"'28810,29483,29374,25865,25556,29083,29192,29105,25505,26817,30408,26490'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,4,11,102,2457490,1,2016,5,17,138,2457526,4,22,37,1,1
"'25505,25865,25556,29192'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,5,23,144,2457532,2,2016,6,2,154,2457542,5,4,11,1,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,6,13,165,2457553,4,2016,6,13,165,2457553,3,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,6,23,175,2457563,7,2016,6,23,175,2457563,4,1,1,0,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,7,4,186,2457574,4,2016,7,4,186,2457574,1,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,7,14,196,2457584,2,2016,7,14,196,2457584,7,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,7,28,210,2457598,3,2016,7,28,210,2457598,2,1,1,0,1
"'25556,25505'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,8,7,220,2457608,8,2016,8,20,233,2457621,2,2,14,1,1
"'26490,28810,25556'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,8,28,241,2457629,6,2016,9,2,246,2457634,3,2,6,1,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,9,16,260,2457648,4,2016,9,16,260,2457648,4,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,9,24,268,2457656,4,2016,9,24,268,2457656,3,1,1,0,1
'30821',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,10,2,276,2457664,5,2016,10,2,276,2457664,2,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",371,Breaking leaf buds,2016,10,7,281,2457669,2,2016,10,7,281,2457669,12,1,1,0,1
"'25505,30821,28810,26490,31726'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2016,8,16,229,2457617,3,2016,10,4,278,2457666,1,11,50,1,1
"'28810,31240'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2016,10,7,281,2457669,2,2016,10,15,289,2457677,4,2,9,1,1
"'28810,31240,25505'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",390,Ripe fruits,2016,10,23,297,2457685,4,2016,11,7,312,2457700,6,5,16,1,1
'26490',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2016,7,4,186,2457574,7,2016,7,4,186,2457574,8,1,1,0,1
"'25505,30821,26490,31726'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2016,8,16,229,2457617,7,2016,10,4,278,2457666,1,10,50,1,1
'31240',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2016,10,10,284,2457672,5,2016,10,15,289,2457677,4,2,6,0,1
'31240',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",390,Ripe fruits,2016,11,7,312,2457700,19,2016,11,7,312,2457700,6,1,1,0,1
'26490',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2016,5,12,133,2457521,1,2016,5,12,133,2457521,5,1,1,0,1
'26490',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2016,7,4,186,2457574,4,2016,7,4,186,2457574,3,1,1,0,1
"'25505,25556,26490,28810,30821'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2016,8,16,229,2457617,7,2016,10,4,278,2457666,1,14,50,1,1
"'25556,28810,31240'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2016,10,7,281,2457669,2,2016,10,15,289,2457677,4,3,9,1,1
"'28810,28846,31240,25556,25505'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2016,10,23,297,2457685,4,2016,11,4,309,2457697,3,6,13,1,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2016,11,11,316,2457704,4,2016,11,11,316,2457704,2,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2016,11,18,323,2457711,4,2016,11,18,323,2457711,1,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",390,Ripe fruits,2016,11,25,330,2457718,5,2016,12,1,336,2457724,-9999,2,7,0,1
'26490',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2016,5,9,130,2457518,1,2016,5,9,130,2457518,2,1,1,0,1
'26490',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2016,5,12,133,2457521,1,2016,5,12,133,2457521,5,1,1,0,1
'26490',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2016,7,4,186,2457574,4,2016,7,4,186,2457574,3,1,1,0,1
"'25505,26490,28810,30821'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2016,8,16,229,2457617,7,2016,9,27,271,2457659,5,8,43,1,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2016,10,4,278,2457666,2,2016,10,4,278,2457666,1,1,1,0,1
"'28810,31240'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2016,10,7,281,2457669,2,2016,10,15,289,2457677,4,2,9,1,1
"'28810,31680,31240'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2016,10,23,297,2457685,4,2016,10,25,299,2457687,6,2,3,1,1
'31240',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,"12843*H, Tree 8",390,Ripe fruits,2016,11,1,306,2457694,1,2016,11,1,306,2457694,6,1,1,0,1
"'25556,19414,28810'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,2,28,59,2457447,-9999,2016,3,11,71,2457459,6,4,13,1,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,3,18,78,2457466,1,2016,3,18,78,2457466,2,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,3,26,86,2457474,6,2016,3,26,86,2457474,1,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,4,1,92,2457480,1,2016,4,1,92,2457480,5,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,4,8,99,2457487,2,2016,4,8,99,2457487,1,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,4,15,106,2457494,1,2016,4,15,106,2457494,3,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,4,21,112,2457500,1,2016,4,21,112,2457500,2,1,1,0,1
"'25505,25556,28810,26490,30821,19414'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,8,16,229,2457617,7,2016,10,4,278,2457666,1,14,50,1,1
"'28810,25556'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,10,7,281,2457669,2,2016,10,14,288,2457676,5,2,8,1,1
"'28810,28846,31680,25556'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,10,23,297,2457685,4,2016,10,28,302,2457690,3,2,6,1,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,11,4,309,2457697,4,2016,11,4,309,2457697,3,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,11,11,316,2457704,4,2016,11,11,316,2457704,3,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,11,18,323,2457711,4,2016,11,18,323,2457711,2,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,"629-83*D, Tree 10",390,Ripe fruits,2016,11,25,330,2457718,5,2016,12,1,336,2457724,-9999,2,7,0,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",467,Increasing leaf size,2016,4,23,114,2457502,2,2016,4,23,114,2457502,1,1,1,0,1
"'25505,29483'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",467,Increasing leaf size,2016,4,25,116,2457504,1,2016,4,28,119,2457507,1,2,4,1,1
"'26490,30408,29192,25505,26817,28810,30555,30552,29483'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",467,Increasing leaf size,2016,4,30,121,2457509,1,2016,6,13,165,2457553,6,17,45,1,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",467,Increasing leaf size,2016,6,21,173,2457561,2,2016,6,27,179,2457567,3,2,7,0,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",467,Increasing leaf size,2016,7,4,186,2457574,4,2016,7,4,186,2457574,3,1,1,0,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",467,Increasing leaf size,2016,7,12,194,2457582,5,2016,7,18,200,2457588,1,2,7,0,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",467,Increasing leaf size,2016,8,9,222,2457610,10,2016,8,9,222,2457610,4,1,1,0,1
"'25505,26490,28810'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",467,Increasing leaf size,2016,8,16,229,2457617,3,2016,9,20,264,2457652,4,6,36,1,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",467,Increasing leaf size,2016,9,27,271,2457659,3,2016,9,27,271,2457659,5,1,1,0,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",467,Increasing leaf size,2016,4,23,114,2457502,2,2016,4,23,114,2457502,1,1,1,0,1
"'29483,25505,26490,30408,29192'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",467,Increasing leaf size,2016,4,28,119,2457507,3,2016,5,3,124,2457512,5,5,6,1,1
"'26490,29374,25505,29192,26817,30555,30552,29483'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",467,Increasing leaf size,2016,5,9,130,2457518,1,2016,7,18,200,2457588,1,16,71,1,1
'26490',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",467,Increasing leaf size,2016,7,21,203,2457591,2,2016,7,21,203,2457591,4,1,1,0,1
"'25505,26490'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",467,Increasing leaf size,2016,8,9,222,2457610,15,2016,9,20,264,2457652,4,6,43,1,1
'25505',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",467,Increasing leaf size,2016,9,27,271,2457659,3,2016,9,27,271,2457659,5,1,1,0,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",467,Increasing leaf size,2016,4,23,114,2457502,2,2016,4,23,114,2457502,1,1,1,0,1
"'25505,28810'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",467,Increasing leaf size,2016,4,25,116,2457504,1,2016,4,28,119,2457507,1,2,4,1,1
"'26490,30408,29192,25505,25556,29374,26817,28810'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",467,Increasing leaf size,2016,4,30,121,2457509,1,2016,5,23,144,2457532,2,9,24,1,1
