DATE,JULIAN,TREEID,CIRCUIT,BCON,BBRK,FBUD,FOPN,FPST,SEX,LENGTH,WIDTH,LFIN,L75,L95,TIP,COMMENTS,,
4/1/15,91,BEPA-05,45,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2012,,
4/1/15,91,COAL-06,46,ND,ND,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 4-16-15 (03 dead),,
4/1/15,91,FRAM-07,47,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree 5-1-08 (02 dead),,
4/1/15,91,FAGR-04,48,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,QUAL-03,49,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/1/15,91,ACSA-02,50,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,FRAM-03,51,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,POTR-05,52,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new 5-19-11 flwr buds SS,,
4/1/15,91,ACSA-04,53,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree fall 2007 (03 cut),,
4/1/15,91,PRSE-04,54,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,QURU-04,55,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/1/15,91,ACRU-05,56,NS,0,SS,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,FRAM-08,57,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree 4-1-15,,
4/1/15,91,POTR-02,58,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,flwr buds SS,,
4/10/15,100,AMSP-01,1,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,FRAM-01,2,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/10/15,100,PRSE-01,3,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,ACRU-01,4,NS,0,MS,0,0,ND,-99,-99,0,0,0,0,,,
4/10/15,100,COAL-05,5,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),,
4/10/15,100,AMSP-02,6,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,ACSA-01,7,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,BELE-01,8,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,,
4/10/15,100,BEAL-01,9,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,,
4/10/15,100,QURU-01,11,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/10/15,100,QUAL-05,12,NS,0,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,,
4/10/15,100,FAGR-01,13,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,ACPE-01,14,SS,0,ND,0,0,ND,0,0,0,0,0,0,outer scales just splitting,,
4/10/15,100,QUVE-01,15,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,BEPA-01,16,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,CRSP-01,17,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,ACRU-02,18,NS,0,SS,0,0,ND,-99,-99,0,0,0,0,,,
4/10/15,100,ACPE-02,19,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,FAGR-05,20,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,unhealthy-bbd&ice damage,,
4/10/15,100,ACPE-03,21,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,HAVI-01,22,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,BEAL-02,23,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,BELE-02,24,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,FAGR-06,25,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree fall 2004,,
4/10/15,100,AMSP-03,26,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,BEAL-03,27,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,HAVI-02,28,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,QURU-02,29,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/10/15,100,ACRU-03,30,NS,0,SS,0,0,ND,-99,-99,0,0,0,0,,,
4/10/15,100,ACPE-04,31,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,QUVE-02,32,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,ACRU-04,33,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,QUAL-02,34,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/10/15,100,CRSP-03,35,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,BELE-03,36,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,HAVI-03,37,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,QUVE-03,38,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,QUVE-04,39,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,QURU-03,40,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/10/15,100,CRSP-02,41,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,PRSE-02,42,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,BEPA-02,43,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,BEPA-06,44,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 4-1-14 (03 dead),,
4/10/15,100,BEPA-05,45,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2012,,
4/10/15,100,COAL-06,46,ND,ND,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 4-16-15 (03 dead),,
4/10/15,100,FRAM-07,47,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree 5-1-08 (02 dead),,
4/10/15,100,FAGR-04,48,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,QUAL-03,49,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/10/15,100,ACSA-02,50,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,FRAM-03,51,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,POTR-05,52,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new 5-19-11 catkins fuzzy,,
4/10/15,100,ACSA-04,53,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree fall 2007 (03 cut),,
4/10/15,100,PRSE-04,54,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/10/15,100,QURU-04,55,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/10/15,100,ACRU-05,56,NS,0,MS,0,0,ND,0,0,0,0,0,0,,,
4/10/15,100,FRAM-08,57,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree 4-1-15,,
4/10/15,100,POTR-02,58,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,flwr buds MS,,
4/16/15,106,AMSP-01,1,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,FRAM-01,2,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/16/15,106,PRSE-01,3,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,ACRU-01,4,MS,0,VS,0,0,ND,-99,-99,0,0,0,0,,,
4/16/15,106,COAL-05,5,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),,
4/16/15,106,AMSP-02,6,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,ACSA-01,7,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/16/15,106,BELE-01,8,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,,
4/16/15,106,BEAL-01,9,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/16/15,106,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,,
4/16/15,106,QURU-01,11,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/16/15,106,QUAL-05,12,NS,0,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,,
4/16/15,106,FAGR-01,13,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/16/15,106,ACPE-01,14,MS,0,ND,0,0,ND,0,0,0,0,0,0,inner sheath emerging,,
4/16/15,106,QUVE-01,15,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,BEPA-01,16,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,CRSP-01,17,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,ACRU-02,18,MS,0,VS,0,0,ND,-99,-99,0,0,0,0,,,
4/16/15,106,ACPE-02,19,SS,0,ND,0,0,ND,0,0,0,0,0,0,outer scales just splitting,,
4/16/15,106,FAGR-05,20,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,unhealthy-bbd&ice damage,,
4/16/15,106,ACPE-03,21,SS,0,ND,0,0,ND,0,0,0,0,0,0,outer scales just splitting,,
4/16/15,106,HAVI-01,22,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/16/15,106,BEAL-02,23,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/16/15,106,BELE-02,24,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,FAGR-06,25,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree fall 2004,,
4/16/15,106,AMSP-03,26,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,BEAL-03,27,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/16/15,106,HAVI-02,28,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/16/15,106,QURU-02,29,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/16/15,106,ACRU-03,30,MS,0,MS,0,0,ND,-99,-99,0,0,0,0,,,
4/16/15,106,ACPE-04,31,SS,0,ND,0,0,ND,0,0,0,0,0,0,outer scales just splitting,,
4/16/15,106,QUVE-02,32,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,ACRU-04,33,MS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/16/15,106,QUAL-02,34,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/16/15,106,CRSP-03,35,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,BELE-03,36,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,HAVI-03,37,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/16/15,106,QUVE-03,38,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,QUVE-04,39,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,QURU-03,40,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/16/15,106,CRSP-02,41,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,PRSE-02,42,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,BEPA-02,43,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,BEPA-06,44,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 4-1-14 (03 dead),,
4/16/15,106,BEPA-05,45,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2012,,
4/16/15,106,COAL-06,46,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 4-16-15 (03 dead),,
4/16/15,106,FRAM-07,47,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree 5-1-08 (02 dead),,
4/16/15,106,FAGR-04,48,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/16/15,106,QUAL-03,49,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/16/15,106,ACSA-02,50,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/16/15,106,FRAM-03,51,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/16/15,106,POTR-05,52,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new5-19-11 first flrws open?,,
4/16/15,106,ACSA-04,53,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree fall 2007 (03 cut),,
4/16/15,106,PRSE-04,54,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/16/15,106,QURU-04,55,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/16/15,106,ACRU-05,56,MS,0,VS,0,0,ND,0,0,0,0,0,0,,,
4/16/15,106,FRAM-08,57,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree 4-1-15,,
4/16/15,106,POTR-02,58,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,flwr buds fat/fuzzy,,
4/24/15,114,AMSP-01,1,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,FRAM-01,2,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/24/15,114,PRSE-01,3,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,ACRU-01,4,VS,0,BB,90,0,M,-99,-99,0,0,0,0,,,
4/24/15,114,COAL-05,5,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),,
4/24/15,114,AMSP-02,6,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,ACSA-01,7,MS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/24/15,114,BELE-01,8,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,,
4/24/15,114,BEAL-01,9,SS,0,ND,0,0,ND,0,0,0,0,0,0,no M catkins,,
4/24/15,114,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,,
4/24/15,114,QURU-01,11,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/24/15,114,QUAL-05,12,NS,0,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,,
4/24/15,114,FAGR-01,13,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/24/15,114,ACPE-01,14,MS,0,ND,0,0,ND,0,0,0,0,0,0,inner sheaths ~1 cm,,
4/24/15,114,QUVE-01,15,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,BEPA-01,16,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,CRSP-01,17,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,ACRU-02,18,MS,0,BB,35,0,M,-99,-99,0,0,0,0,,,
4/24/15,114,ACPE-02,19,MS,0,ND,0,0,ND,0,0,0,0,0,0,inner sheaths ~.5 cm,,
4/24/15,114,FAGR-05,20,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,unhealthy-bbd&ice damage,,
4/24/15,114,ACPE-03,21,MS,0,ND,0,0,ND,0,0,0,0,0,0,inner sheaths ~.75 cm,,
4/24/15,114,HAVI-01,22,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/24/15,114,BEAL-02,23,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/24/15,114,BELE-02,24,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,FAGR-06,25,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree fall 2004,,
4/24/15,114,AMSP-03,26,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,BEAL-03,27,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/24/15,114,HAVI-02,28,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/24/15,114,QURU-02,29,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/24/15,114,ACRU-03,30,MS,0,BB,75,0,M,-99,-99,0,0,0,0,,,
4/24/15,114,ACPE-04,31,MS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/24/15,114,QUVE-02,32,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,ACRU-04,33,MS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/24/15,114,QUAL-02,34,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/24/15,114,CRSP-03,35,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,BELE-03,36,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,HAVI-03,37,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/24/15,114,QUVE-03,38,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,QUVE-04,39,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,QURU-03,40,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/24/15,114,CRSP-02,41,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,PRSE-02,42,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,BEPA-02,43,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,BEPA-06,44,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 4-1-14 (03 dead),,
4/24/15,114,BEPA-05,45,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2012,,
4/24/15,114,COAL-06,46,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 4-16-15 (03 dead),,
4/24/15,114,FRAM-07,47,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree 5-1-08 (02 dead),,
4/24/15,114,FAGR-04,48,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/24/15,114,QUAL-03,49,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/24/15,114,ACSA-02,50,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/24/15,114,FRAM-03,51,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/24/15,114,POTR-05,52,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new5-19-11 95% flwrs open,,
4/24/15,114,ACSA-04,53,MS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree fall 2007 (03 cut),,
4/24/15,114,PRSE-04,54,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/24/15,114,QURU-04,55,MS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/24/15,114,ACRU-05,56,MS,0,BB,75,0,F,0,0,0,0,0,0,,,
4/24/15,114,FRAM-08,57,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree 4-1-15,,
4/24/15,114,POTR-02,58,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,F flwrs hanging,,
4/29/15,119,AMSP-01,1,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/29/15,119,FRAM-01,2,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/29/15,119,PRSE-01,3,ND,ND,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/29/15,119,ACRU-01,4,VS,0,BB,100,0,M,-99,-99,0,0,0,0,,,
4/29/15,119,COAL-05,5,ND,ND,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),,
4/29/15,119,AMSP-02,6,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/29/15,119,ACSA-01,7,MS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/29/15,119,BELE-01,8,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,,
4/29/15,119,BEAL-01,9,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/29/15,119,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,,
4/29/15,119,QURU-01,11,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/29/15,119,QUAL-05,12,NS,0,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,,
4/29/15,119,FAGR-01,13,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/29/15,119,ACPE-01,14,VS,0,ND,0,0,ND,0,0,0,0,0,0,inner sheaths up to ~3 cm,,
4/29/15,119,QUVE-01,15,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/29/15,119,BEPA-01,16,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/29/15,119,CRSP-01,17,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/29/15,119,ACRU-02,18,VS,0,BB,90,0,M,-99,-99,0,0,0,0,,,
4/29/15,119,ACPE-02,19,VS,0,ND,0,0,ND,0,0,0,0,0,0,inner sheaths ~1 cm,,
4/29/15,119,FAGR-05,20,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,unhealthy-bbd&ice damage,,
4/29/15,119,ACPE-03,21,VS,0,ND,0,0,ND,0,0,0,0,0,0,inner sheaths ~1 cm,,
4/29/15,119,HAVI-01,22,MS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/29/15,119,BEAL-02,23,SS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/29/15,119,BELE-02,24,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/29/15,119,FAGR-06,25,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree fall 2004,,
