Partner_Group,Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,ITIS_Number,Individual_ID,Plant_Nickname,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,371,Breaking leaf buds,2016,4,19,110,2457498,1,2016,5,23,144,2457532,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,371,Breaking leaf buds,2016,5,29,150,2457538,3,2016,6,7,159,2457547,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,371,Breaking leaf buds,2016,6,13,165,2457553,5,2016,6,13,165,2457553,6
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,371,Breaking leaf buds,2016,4,8,99,2457487,2,2016,4,8,99,2457487,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,371,Breaking leaf buds,2016,4,11,102,2457490,1,2016,5,17,138,2457526,4
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,371,Breaking leaf buds,2016,5,23,144,2457532,2,2016,6,2,154,2457542,5
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,371,Breaking leaf buds,2016,6,13,165,2457553,4,2016,6,13,165,2457553,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,390,Ripe fruits,2016,5,12,133,2457521,1,2016,5,12,133,2457521,5
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,390,Ripe fruits,2016,5,9,130,2457518,1,2016,5,9,130,2457518,2
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,390,Ripe fruits,2016,5,12,133,2457521,1,2016,5,12,133,2457521,5
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,390,Ripe fruits,2016,2,28,59,2457447,-9999,2016,3,11,71,2457459,6
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,390,Ripe fruits,2016,3,18,78,2457466,1,2016,3,18,78,2457466,2
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,390,Ripe fruits,2016,3,26,86,2457474,6,2016,3,26,86,2457474,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,390,Ripe fruits,2016,4,1,92,2457480,1,2016,4,1,92,2457480,5
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,390,Ripe fruits,2016,4,8,99,2457487,2,2016,4,8,99,2457487,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,390,Ripe fruits,2016,4,15,106,2457494,1,2016,4,15,106,2457494,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,390,Ripe fruits,2016,4,21,112,2457500,1,2016,4,21,112,2457500,2
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,467,Increasing leaf size,2016,4,23,114,2457502,2,2016,4,23,114,2457502,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,467,Increasing leaf size,2016,4,25,116,2457504,1,2016,4,28,119,2457507,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,467,Increasing leaf size,2016,4,30,121,2457509,1,2016,6,13,165,2457553,6
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,467,Increasing leaf size,2016,6,21,173,2457561,2,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,467,Increasing leaf size,2016,4,23,114,2457502,2,2016,4,23,114,2457502,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,467,Increasing leaf size,2016,4,28,119,2457507,3,2016,5,3,124,2457512,5
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,467,Increasing leaf size,2016,5,9,130,2457518,1,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,467,Increasing leaf size,2016,4,23,114,2457502,2,2016,4,23,114,2457502,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,467,Increasing leaf size,2016,4,25,116,2457504,1,2016,4,28,119,2457507,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,467,Increasing leaf size,2016,4,30,121,2457509,1,2016,6,13,165,2457553,6
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,467,Increasing leaf size,2016,6,21,173,2457561,2,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,467,Increasing leaf size,2016,4,23,114,2457502,2,2016,4,23,114,2457502,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,467,Increasing leaf size,2016,4,28,119,2457507,3,2016,4,28,119,2457507,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,467,Increasing leaf size,2016,4,30,121,2457509,1,2016,5,3,124,2457512,5
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,467,Increasing leaf size,2016,5,9,130,2457518,1,2016,6,13,165,2457553,6
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,467,Increasing leaf size,2016,6,21,173,2457561,2,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,467,Increasing leaf size,2016,4,23,114,2457502,2,2016,4,23,114,2457502,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,467,Increasing leaf size,2016,4,25,116,2457504,1,2016,4,29,120,2457508,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,467,Increasing leaf size,2016,5,1,122,2457510,1,2016,6,3,155,2457543,4
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,467,Increasing leaf size,2016,6,8,160,2457548,1,2016,6,13,165,2457553,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,467,Increasing leaf size,2016,6,21,173,2457561,5,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,483,Leaves,2016,4,23,114,2457502,2,2016,4,28,119,2457507,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,483,Leaves,2016,4,30,121,2457509,1,2016,5,17,138,2457526,4
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,483,Leaves,2016,5,23,144,2457532,2,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,483,Leaves,2016,4,23,114,2457502,2,2016,4,24,115,2457503,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,483,Leaves,2016,4,28,119,2457507,3,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,483,Leaves,2016,4,23,114,2457502,2,2016,4,28,119,2457507,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,483,Leaves,2016,4,30,121,2457509,1,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,483,Leaves,2016,4,23,114,2457502,2,2016,4,24,115,2457503,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,483,Leaves,2016,4,28,119,2457507,3,2016,4,28,119,2457507,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,483,Leaves,2016,4,30,121,2457509,1,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,483,Leaves,2016,4,23,114,2457502,2,2016,6,3,155,2457543,4
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,483,Leaves,2016,6,8,160,2457548,1,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,498,Colored leaves,2016,4,23,114,2457502,2,2016,4,23,114,2457502,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,498,Colored leaves,2016,4,28,119,2457507,3,2016,4,28,119,2457507,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,498,Colored leaves,2016,6,8,160,2457548,1,2016,6,8,160,2457548,5
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,498,Colored leaves,2016,4,23,114,2457502,2,2016,4,23,114,2457502,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,498,Colored leaves,2016,4,28,119,2457507,3,2016,4,28,119,2457507,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,498,Colored leaves,2016,6,8,160,2457548,1,2016,6,8,160,2457548,5
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,498,Colored leaves,2016,4,23,114,2457502,2,2016,4,23,114,2457502,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,498,Colored leaves,2016,4,28,119,2457507,3,2016,4,28,119,2457507,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,498,Colored leaves,2016,6,8,160,2457548,1,2016,6,8,160,2457548,5
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,498,Colored leaves,2016,4,23,114,2457502,2,2016,4,23,114,2457502,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,498,Colored leaves,2016,4,28,119,2457507,3,2016,4,28,119,2457507,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,498,Colored leaves,2016,6,8,160,2457548,1,2016,6,8,160,2457548,5
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,498,Colored leaves,2016,4,23,114,2457502,2,2016,4,23,114,2457502,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,498,Colored leaves,2016,4,28,119,2457507,1,2016,4,28,119,2457507,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,498,Colored leaves,2016,6,8,160,2457548,1,2016,6,8,160,2457548,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,500,Flowers or flower buds,2016,3,17,77,2457465,12,2016,3,17,77,2457465,2
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,500,Flowers or flower buds,2016,4,13,104,2457492,2,2016,4,18,109,2457497,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,500,Flowers or flower buds,2016,4,20,111,2457499,1,2016,4,30,121,2457509,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,500,Flowers or flower buds,2016,5,3,124,2457512,2,2016,5,17,138,2457526,4
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,500,Flowers or flower buds,2016,5,23,144,2457532,2,2016,5,26,147,2457535,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,500,Flowers or flower buds,2016,5,30,151,2457539,1,2016,5,30,151,2457539,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,500,Flowers or flower buds,2016,6,7,159,2457547,5,2016,6,13,165,2457553,6
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,500,Flowers or flower buds,2016,6,21,173,2457561,2,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,500,Flowers or flower buds,2016,3,17,77,2457465,15,2016,3,17,77,2457465,2
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,500,Flowers or flower buds,2016,4,10,101,2457489,1,2016,4,14,105,2457493,4
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,500,Flowers or flower buds,2016,4,20,111,2457499,1,2016,4,25,116,2457504,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,500,Flowers or flower buds,2016,4,29,120,2457508,1,2016,4,30,121,2457509,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,500,Flowers or flower buds,2016,5,3,124,2457512,2,2016,5,30,151,2457539,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,500,Flowers or flower buds,2016,6,7,159,2457547,5,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,500,Flowers or flower buds,2016,3,17,77,2457465,6,2016,3,17,77,2457465,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,500,Flowers or flower buds,2016,4,10,101,2457489,1,2016,4,10,101,2457489,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,500,Flowers or flower buds,2016,4,13,104,2457492,2,2016,4,14,105,2457493,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,500,Flowers or flower buds,2016,4,18,109,2457497,3,2016,4,18,109,2457497,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,500,Flowers or flower buds,2016,4,20,111,2457499,1,2016,5,30,151,2457539,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,500,Flowers or flower buds,2016,6,7,159,2457547,5,2016,6,13,165,2457553,6
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,500,Flowers or flower buds,2016,6,21,173,2457561,2,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,500,Flowers or flower buds,2016,3,17,77,2457465,15,2016,3,17,77,2457465,2
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,500,Flowers or flower buds,2016,4,10,101,2457489,1,2016,4,10,101,2457489,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,500,Flowers or flower buds,2016,4,13,104,2457492,2,2016,4,14,105,2457493,4
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,500,Flowers or flower buds,2016,4,20,111,2457499,1,2016,4,30,121,2457509,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,500,Flowers or flower buds,2016,5,3,124,2457512,2,2016,5,26,147,2457535,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,500,Flowers or flower buds,2016,5,30,151,2457539,1,2016,5,30,151,2457539,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,500,Flowers or flower buds,2016,6,7,159,2457547,5,2016,6,13,165,2457553,6
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,500,Flowers or flower buds,2016,6,21,173,2457561,2,2016,6,21,173,2457561,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,500,Flowers or flower buds,2016,4,10,101,2457489,1,2016,4,10,101,2457489,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,500,Flowers or flower buds,2016,4,13,104,2457492,2,2016,4,14,105,2457493,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,500,Flowers or flower buds,2016,4,18,109,2457497,3,2016,4,18,109,2457497,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,500,Flowers or flower buds,2016,4,20,111,2457499,1,2016,5,30,151,2457539,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,500,Flowers or flower buds,2016,6,3,155,2457543,1,2016,6,3,155,2457543,4
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85764,629-83*D Yellow birch,500,Flowers or flower buds,2016,6,8,160,2457548,1,2016,6,8,160,2457548,1
